Blue,Green,Red,Type
205,144,70,1
165,85,56,1
162,81,90,1
121,56,82,1
117,33,62,1
37,27,234,0
36,103,242,0
18,197,248,0
28,237,245,0
50,210,180,0
65,195,132,0
73,183,77,0
73,170,50,2
107,180,34,1
182,184,10,1
200,141,69,1
164,84,55,1
162,81,90,1
121,56,82,1
118,34,63,1
1,0,174,0
0,0,224,0
1,2,254,0
1,125,255,0
68,205,254,0
1,240,255,0
102,222,204,2
0,200,169,1
1,170,0,1
78,150,0,1
238,225,157,1
213,176,12,1
240,60,71,1
239,11,110,1
36,28,235,0
34,104,241,0
58,141,246,0
51,190,253,0
65,242,255,0
48,219,203,0
77,193,123,0
110,179,5,2
206,170,0,1
185,116,73,1
156,71,49,1
150,61,94,1
146,49,129,1
165,92,148,1
168,102,184,1
38,27,237,0
36,103,242,0
18,191,241,0
28,237,245,0
50,210,180,0
65,195,132,0
72,182,76,0
73,169,51,2
107,180,34,1
182,185,9,1
204,142,71,1
165,85,56,1
162,81,90,1
121,56,82,1
117,33,62,1
68,65,198,0
49,105,206,0
37,176,225,0
35,240,248,0
30,228,204,0
22,203,159,0
17,179,121,0
12,149,93,2
97,171,107,1
192,186,119,1
209,132,86,1
221,79,56,1
211,65,60,1
202,52,81,1
159,41,66,1
15,0,192,0
26,100,194,0
37,161,225,0
12,192,244,0
19,227,192,0
10,199,137,0
12,173,117,0
9,146,95,2
98,157,96,1
180,175,96,1
206,128,85,1
209,64,56,1
170,63,59,1
184,48,74,1
146,31,71,1
3,0,199,0
1,79,232,0
26,139,255,0
2,197,255,0
0,230,177,0
1,204,87,0
0,171,43,0
1,150,40,2
97,164,1,1
192,190,5,1
201,123,0,1
203,51,46,1
169,62,48,1
173,37,79,1
131,2,77,1
